check,beta_pm25,se,p,within_r2,n_params,df_t,n
primary_no_region_trends,-2.5541,0.8248,0.0024,0.0802,1,143,170
with_17_region_specific_linear_trends,-0.9373,0.4463,0.0377,0.7908,18,126,170
