region,year,asthma_rate_per100k,pm25
Region XII,2015,7426.259980446197,17.477602
Region XII,2016,7434.265199734832,14.529189
Region XII,2017,7431.293576712105,14.486629
Region XII,2018,7422.094133806792,16.788147
Region XII,2019,7412.22934494654,13.763752
Region XII,2020,7407.260615976687,12.540402
Region XII,2021,7435.505234192316,14.517973
Region XII,2022,7469.559183136202,15.251545
Region XIII,2013,7125.65063521211,12.482736
Region XIII,2014,7222.857420967603,15.11832
Region XIII,2015,7272.972502152489,14.6429615
Region XIII,2016,7281.501361725675,11.080706
Region XIII,2017,7278.557482649705,11.37738
Region XIII,2018,7268.749596585442,14.102243
Region XIII,2019,7257.195042593716,14.149572
Region XIII,2020,7249.036746484145,9.651189
Region XIII,2021,7263.869963718804,12.631905
Region XIII,2022,7282.618800509583,14.492586
